date,trades,winners,win_rate,total_pnl,avg_pnl,avg_winner,avg_loser
2025-09-29,8,2,25.0%,$1357.25,$169.66,$771.15,$-30.84
2025-09-30,5,1,20.0%,$-489.19,$-97.84,$404.20,$-223.35
2025-10-01,16,2,12.5%,$-927.79,$-57.99,$22.43,$-69.48
2025-10-02,12,6,50.0%,$-67.05,$-5.59,$71.34,$-82.51
2025-10-03,8,2,25.0%,$-826.89,$-103.36,$543.18,$-318.87
2025-10-06,6,1,16.7%,$-330.36,$-55.06,$39.94,$-74.06
2025-10-07,9,4,44.4%,$-87.31,$-9.70,$108.97,$-104.64
2025-10-08,12,1,8.3%,$-958.33,$-79.86,$50.40,$-91.70
2025-10-09,3,1,33.3%,$-623.51,$-207.84,$34.66,$-329.08
2025-10-10,18,4,22.2%,$-589.66,$-32.76,$503.70,$-186.03
