symbol,side,entry_price,exit_price,shares,pnl,exit_reason,status,partials_count
RIVN,SHORT,12.976042,OPEN,758,0.00,STILL_OPEN,OPEN,1
LI,SHORT,22.58,OPEN,442,0.00,STILL_OPEN,OPEN,0
TSLA,SHORT,425.25,OPEN,23,0.00,STILL_OPEN,OPEN,0
META,SHORT,707.23,OPEN,14,0.00,STILL_OPEN,OPEN,0
XOM,SHORT,110.66,OPEN,90,0.00,STILL_OPEN,OPEN,0
LCID,SHORT,21.01,OPEN,470,0.00,STILL_OPEN,OPEN,1
CVX,SHORT,150.63,OPEN,66,0.00,STILL_OPEN,OPEN,0
BBBY,SHORT,7.99,OPEN,1000,0.00,STILL_OPEN,OPEN,0
LYFT,SHORT,19.79,OPEN,504,0.00,STILL_OPEN,OPEN,0
WFC,SHORT,84.29,OPEN,117,0.00,STILL_OPEN,OPEN,1
AMZN,LONG,218.22,217.66,1,-0.56,STOP_HIT,CLOSED,0
BB,LONG,4.61,4.59,1,-0.02,STOP_HIT,CLOSED,0
LCID,SHORT,21.01,21.29,470,-131.60,STOP_HIT,CLOSED,1
AMAT,LONG,229.24,227.73,1,-1.51,STOP_HIT,CLOSED,0
META,LONG,724.5,723.93,13,-7.41,15MIN_RULE,CLOSED,0
LI,SHORT,22.58,22.56,442,8.84,15MIN_RULE,CLOSED,0
XOM,SHORT,110.66,110.55,90,9.90,15MIN_RULE,CLOSED,0
TSLA,SHORT,425.25,424.85,23,9.20,15MIN_RULE,CLOSED,0
CVX,SHORT,150.63,150.48,66,9.90,15MIN_RULE,CLOSED,0
LYFT,SHORT,19.79,19.78,504,5.04,15MIN_RULE,CLOSED,0
WFC,SHORT,84.29,84.35,117,-7.02,TRAIL_STOP ($84.29,CLOSED,1
